# Constructed from biom file
#OTU ID	PMXC7.CR.Seed.Comm	PMXC7.M9TC.Seed.Comm	PMXC7.NS.CR.B.RT.REP1.T0	PMXC7.NS.CR.B.RT.REP1.T11	PMXC7.NS.CR.B.RT.REP1.T12	PMXC7.NS.CR.B.RT.REP1.T7	PMXC7.NS.CR.B.RT.REP2.T0	PMXC7.NS.CR.B.RT.REP2.T11	PMXC7.NS.CR.B.RT.REP2.T12	PMXC7.NS.CR.B.RT.REP2.T7	PMXC7.NS.CR.B.RT.REP3.T0	PMXC7.NS.CR.B.RT.REP3.T11	PMXC7.NS.CR.B.RT.REP3.T12	PMXC7.NS.CR.B.RT.REP3.T7	PMXC7.NS.CR.B.VT.REP1.T0	PMXC7.NS.CR.B.VT.REP1.T11	PMXC7.NS.CR.B.VT.REP1.T12	PMXC7.NS.CR.B.VT.REP1.T7	PMXC7.NS.CR.B.VT.REP2.T0	PMXC7.NS.CR.B.VT.REP2.T11	PMXC7.NS.CR.B.VT.REP2.T12	PMXC7.NS.CR.B.VT.REP2.T7	PMXC7.NS.CR.B.VT.REP3.T0	PMXC7.NS.CR.B.VT.REP3.T11	PMXC7.NS.CR.B.VT.REP3.T12	PMXC7.NS.CR.B.VT.REP3.T7	PMXC7.NS.CR.NB.RT.REP1.T0	PMXC7.NS.CR.NB.RT.REP1.T11	PMXC7.NS.CR.NB.RT.REP1.T12	PMXC7.NS.CR.NB.RT.REP1.T7	PMXC7.NS.CR.NB.RT.REP2.T0	PMXC7.NS.CR.NB.RT.REP2.T11	PMXC7.NS.CR.NB.RT.REP2.T12	PMXC7.NS.CR.NB.RT.REP2.T7	PMXC7.NS.CR.NB.RT.REP3.T0	PMXC7.NS.CR.NB.RT.REP3.T11	PMXC7.NS.CR.NB.RT.REP3.T12	PMXC7.NS.CR.NB.RT.REP3.T7	PMXC7.NS.CR.NB.VT.REP1.T0	PMXC7.NS.CR.NB.VT.REP1.T11	PMXC7.NS.CR.NB.VT.REP1.T12	PMXC7.NS.CR.NB.VT.REP1.T7	PMXC7.NS.CR.NB.VT.REP2.T0	PMXC7.NS.CR.NB.VT.REP2.T11	PMXC7.NS.CR.NB.VT.REP2.T12	PMXC7.NS.CR.NB.VT.REP2.T7	PMXC7.NS.CR.NB.VT.REP3.T0	PMXC7.NS.CR.NB.VT.REP3.T11	PMXC7.NS.CR.NB.VT.REP3.T12	PMXC7.NS.CR.NB.VT.REP3.T7	PMXC7.NS.M9.B.RT.REP1.T0	PMXC7.NS.M9.B.RT.REP1.T11	PMXC7.NS.M9.B.RT.REP1.T12	PMXC7.NS.M9.B.RT.REP1.T7	PMXC7.NS.M9.B.RT.REP2.T0	PMXC7.NS.M9.B.RT.REP2.T11	PMXC7.NS.M9.B.RT.REP2.T12	PMXC7.NS.M9.B.RT.REP2.T7	PMXC7.NS.M9.B.RT.REP3.T0	PMXC7.NS.M9.B.RT.REP3.T11	PMXC7.NS.M9.B.RT.REP3.T12	PMXC7.NS.M9.B.RT.REP3.T7	PMXC7.NS.M9.B.VT.REP1.T0	PMXC7.NS.M9.B.VT.REP1.T11	PMXC7.NS.M9.B.VT.REP1.T12	PMXC7.NS.M9.B.VT.REP1.T7	PMXC7.NS.M9.B.VT.REP2.T0	PMXC7.NS.M9.B.VT.REP2.T11	PMXC7.NS.M9.B.VT.REP2.T12	PMXC7.NS.M9.B.VT.REP2.T7	PMXC7.NS.M9.B.VT.REP3.T0	PMXC7.NS.M9.B.VT.REP3.T11	PMXC7.NS.M9.B.VT.REP3.T12	PMXC7.NS.M9.B.VT.REP3.T7	PMXC7.NS.M9.NB.RT.REP1.T0	PMXC7.NS.M9.NB.RT.REP1.T11	PMXC7.NS.M9.NB.RT.REP1.T12	PMXC7.NS.M9.NB.RT.REP1.T7	PMXC7.NS.M9.NB.RT.REP2.T0	PMXC7.NS.M9.NB.RT.REP2.T11	PMXC7.NS.M9.NB.RT.REP2.T12	PMXC7.NS.M9.NB.RT.REP2.T7	PMXC7.NS.M9.NB.RT.REP3.T0	PMXC7.NS.M9.NB.RT.REP3.T11	PMXC7.NS.M9.NB.RT.REP3.T12	PMXC7.NS.M9.NB.RT.REP3.T7	PMXC7.NS.M9.NB.VT.REP1.T0	PMXC7.NS.M9.NB.VT.REP1.T11	PMXC7.NS.M9.NB.VT.REP1.T12	PMXC7.NS.M9.NB.VT.REP1.T7	PMXC7.NS.M9.NB.VT.REP2.T0	PMXC7.NS.M9.NB.VT.REP2.T11	PMXC7.NS.M9.NB.VT.REP2.T12	PMXC7.NS.M9.NB.VT.REP2.T7	PMXC7.NS.M9.NB.VT.REP3.T0	PMXC7.NS.M9.NB.VT.REP3.T11	PMXC7.NS.M9.NB.VT.REP3.T12	PMXC7.NS.M9.NB.VT.REP3.T7	PMXC7.S.CR.B.RT.REP1.T0	PMXC7.S.CR.B.RT.REP1.T11	PMXC7.S.CR.B.RT.REP1.T12	PMXC7.S.CR.B.RT.REP1.T7	PMXC7.S.CR.B.RT.REP2.T0	PMXC7.S.CR.B.RT.REP2.T11	PMXC7.S.CR.B.RT.REP2.T12	PMXC7.S.CR.B.RT.REP2.T7	PMXC7.S.CR.B.RT.REP3.T0	PMXC7.S.CR.B.RT.REP3.T11	PMXC7.S.CR.B.RT.REP3.T12	PMXC7.S.CR.B.RT.REP3.T7	PMXC7.S.CR.B.VT.REP1.T0	PMXC7.S.CR.B.VT.REP1.T11	PMXC7.S.CR.B.VT.REP1.T12	PMXC7.S.CR.B.VT.REP1.T7	PMXC7.S.CR.B.VT.REP2.T0	PMXC7.S.CR.B.VT.REP2.T11	PMXC7.S.CR.B.VT.REP2.T12	PMXC7.S.CR.B.VT.REP2.T7	PMXC7.S.CR.B.VT.REP3.T0	PMXC7.S.CR.B.VT.REP3.T11	PMXC7.S.CR.B.VT.REP3.T12	PMXC7.S.CR.B.VT.REP3.T7	PMXC7.S.CR.NB.RT.REP1.T0	PMXC7.S.CR.NB.RT.REP1.T11	PMXC7.S.CR.NB.RT.REP1.T12	PMXC7.S.CR.NB.RT.REP1.T7	PMXC7.S.CR.NB.RT.REP2.T0	PMXC7.S.CR.NB.RT.REP2.T11	PMXC7.S.CR.NB.RT.REP2.T12	PMXC7.S.CR.NB.RT.REP2.T7	PMXC7.S.CR.NB.RT.REP3.T0	PMXC7.S.CR.NB.RT.REP3.T11	PMXC7.S.CR.NB.RT.REP3.T12	PMXC7.S.CR.NB.RT.REP3.T7	PMXC7.S.CR.NB.VT.REP1.T0	PMXC7.S.CR.NB.VT.REP1.T11	PMXC7.S.CR.NB.VT.REP1.T12	PMXC7.S.CR.NB.VT.REP1.T7	PMXC7.S.CR.NB.VT.REP2.T0	PMXC7.S.CR.NB.VT.REP2.T11	PMXC7.S.CR.NB.VT.REP2.T12	PMXC7.S.CR.NB.VT.REP2.T7	PMXC7.S.CR.NB.VT.REP3.T0	PMXC7.S.CR.NB.VT.REP3.T11	PMXC7.S.CR.NB.VT.REP3.T12	PMXC7.S.CR.NB.VT.REP3.T7	PMXC7.S.M9.B.RT.REP1.T0	PMXC7.S.M9.B.RT.REP1.T11	PMXC7.S.M9.B.RT.REP1.T12	PMXC7.S.M9.B.RT.REP1.T7	PMXC7.S.M9.B.RT.REP2.T0	PMXC7.S.M9.B.RT.REP2.T11	PMXC7.S.M9.B.RT.REP2.T12	PMXC7.S.M9.B.RT.REP2.T7	PMXC7.S.M9.B.RT.REP3.T0	PMXC7.S.M9.B.RT.REP3.T11	PMXC7.S.M9.B.RT.REP3.T12	PMXC7.S.M9.B.RT.REP3.T7	PMXC7.S.M9.B.VT.REP1.T0	PMXC7.S.M9.B.VT.REP1.T11	PMXC7.S.M9.B.VT.REP1.T12	PMXC7.S.M9.B.VT.REP1.T7	PMXC7.S.M9.B.VT.REP2.T0	PMXC7.S.M9.B.VT.REP2.T11	PMXC7.S.M9.B.VT.REP2.T12	PMXC7.S.M9.B.VT.REP2.T7	PMXC7.S.M9.B.VT.REP3.T0	PMXC7.S.M9.B.VT.REP3.T11	PMXC7.S.M9.B.VT.REP3.T12	PMXC7.S.M9.B.VT.REP3.T7	PMXC7.S.M9.NB.RT.REP1.T0	PMXC7.S.M9.NB.RT.REP1.T11	PMXC7.S.M9.NB.RT.REP1.T12	PMXC7.S.M9.NB.RT.REP1.T7	PMXC7.S.M9.NB.RT.REP2.T0	PMXC7.S.M9.NB.RT.REP2.T11	PMXC7.S.M9.NB.RT.REP2.T12	PMXC7.S.M9.NB.RT.REP2.T7	PMXC7.S.M9.NB.RT.REP3.T0	PMXC7.S.M9.NB.RT.REP3.T11	PMXC7.S.M9.NB.RT.REP3.T12	PMXC7.S.M9.NB.RT.REP3.T7	PMXC7.S.M9.NB.VT.REP1.T0	PMXC7.S.M9.NB.VT.REP1.T11	PMXC7.S.M9.NB.VT.REP1.T12	PMXC7.S.M9.NB.VT.REP1.T7	PMXC7.S.M9.NB.VT.REP2.T0	PMXC7.S.M9.NB.VT.REP2.T11	PMXC7.S.M9.NB.VT.REP2.T12	PMXC7.S.M9.NB.VT.REP2.T7	PMXC7.S.M9.NB.VT.REP3.T0	PMXC7.S.M9.NB.VT.REP3.T11	PMXC7.S.M9.NB.VT.REP3.T12	PMXC7.S.M9.NB.VT.REP3.T7
38c27ceaed634984c1225a82648cf571	971.0	1164.0	7413.0	5286.0	5347.0	5467.0	6933.0	5855.0	6391.0	6354.0	5672.0	5588.0	5586.0	5585.0	4717.0	179.0	39.0	68.0	6817.0	66.0	35.0	137.0	6857.0	762.0	9.0	2198.0	5567.0	6542.0	6208.0	6371.0	6146.0	6818.0	6944.0	6768.0	6142.0	6656.0	7053.0	5980.0	5931.0	3653.0	4090.0	3118.0	6556.0	2216.0	4105.0	1637.0	4643.0	3032.0	4318.0	1665.0	4308.0	9064.0	9737.0	9667.0	3988.0	8860.0	9401.0	9128.0	6036.0	8715.0	8721.0	8179.0	6924.0	11008.0	11181.0	11152.0	6984.0	9909.0	11280.0	11740.0	6278.0	10645.0	11407.0	11208.0	1789.0	10130.0	10056.0	9762.0	1464.0	10333.0	10067.0	10262.0	1535.0	10925.0	10728.0	10457.0	3835.0	10616.0	10532.0	10028.0	4130.0	10971.0	10734.0	11216.0	3336.0	11686.0	10378.0	10078.0	1196.0	44.0	77.0	515.0	666.0	73.0	97.0	286.0	3528.0	101.0	133.0	238.0	3442.0	27.0	23.0	109.0	4850.0	34.0	17.0	251.0	5426.0	64.0	27.0	231.0	4376.0	4566.0	3357.0	1724.0	8747.0	3670.0	3244.0	1007.0	3465.0	4239.0	3913.0	1096.0	5618.0	4582.0	4663.0	2760.0	3448.0	4350.0	4753.0	1798.0	4075.0	4733.0	4664.0	1300.0	7649.0	11782.0	12326.0	11652.0	8911.0	11788.0	12493.0	11609.0	6695.0	10790.0	11376.0	11133.0	8374.0	10139.0	11424.0	11909.0	7879.0	10975.0	10587.0	12690.0	8697.0	11755.0	11880.0	9783.0	948.0	0.0	0.0	0.0	1066.0	0.0	0.0	0.0	580.0	11747.0	12034.0	12669.0	844.0	11593.0	10273.0	12181.0	719.0	10844.0	10827.0	11898.0	991.0	0.0	0.0	2.0
4d72007c70f4abc0bf9e8fe8b826d07d	673.0	597.0	2216.0	1913.0	1839.0	2331.0	2191.0	1850.0	1405.0	1853.0	1300.0	1588.0	1398.0	1912.0	612.0	1402.0	1456.0	4210.0	2072.0	1449.0	977.0	3497.0	1982.0	1199.0	1220.0	3506.0	3216.0	1255.0	1748.0	2006.0	2333.0	1334.0	1316.0	1873.0	2747.0	906.0	1391.0	1437.0	1911.0	1750.0	1434.0	4850.0	1917.0	2637.0	1576.0	4176.0	1794.0	1848.0	857.0	3948.0	6638.0	8095.0	7519.0	7534.0	6073.0	8304.0	7663.0	7931.0	4857.0	8264.0	8251.0	5449.0	4869.0	4915.0	4922.0	4178.0	5287.0	6022.0	5111.0	3069.0	4496.0	5354.0	4991.0	4940.0	6178.0	6776.0	6916.0	7090.0	2281.0	6450.0	6847.0	6772.0	2749.0	5849.0	5942.0	6401.0	4308.0	4201.0	5090.0	4628.0	2844.0	3446.0	3695.0	3557.0	2841.0	4814.0	5605.0	6164.0	772.0	896.0	2836.0	1268.0	1089.0	1364.0	2624.0	1661.0	1079.0	1355.0	1827.0	1582.0	1145.0	766.0	1108.0	984.0	2221.0	1122.0	2031.0	1415.0	1754.0	1062.0	1852.0	1522.0	1181.0	712.0	992.0	2454.0	1499.0	924.0	714.0	2716.0	689.0	820.0	965.0	2430.0	2105.0	1004.0	916.0	3474.0	1022.0	989.0	392.0	3702.0	975.0	680.0	587.0	3201.0	4554.0	4613.0	4266.0	5146.0	3801.0	5009.0	4433.0	5409.0	4193.0	6057.0	5477.0	5757.0	4627.0	6668.0	5637.0	4882.0	3834.0	5944.0	6437.0	4148.0	3840.0	5031.0	5097.0	7341.0	5869.0	15796.0	16114.0	14374.0	8662.0	16317.0	15883.0	15828.0	13465.0	3801.0	3722.0	3998.0	3643.0	3246.0	3970.0	3974.0	3694.0	5496.0	4980.0	4515.0	4779.0	14141.0	14258.0	13512.0
1b98b00b0fc819488d76aa0c09d57bcc	920.0	1288.0	3947.0	2797.0	3324.0	3193.0	4498.0	3111.0	3048.0	3217.0	3894.0	3079.0	4026.0	3233.0	2626.0	10343.0	10542.0	9963.0	6188.0	10832.0	11227.0	10497.0	6284.0	9785.0	10259.0	6710.0	4740.0	2399.0	1815.0	3178.0	3422.0	2375.0	1945.0	2813.0	4915.0	2153.0	1464.0	1599.0	5108.0	5340.0	5612.0	2488.0	5230.0	5973.0	5731.0	5813.0	2148.0	5197.0	5858.0	6023.0	1562.0	1.0	0.0	9.0	2408.0	0.0	0.0	12.0	2822.0	4.0	0.0	9.0	2726.0	795.0	646.0	161.0	1501.0	678.0	241.0	118.0	2068.0	855.0	413.0	183.0	3571.0	0.0	0.0	11.0	1012.0	0.0	0.0	1.0	1695.0	0.0	0.0	29.0	3911.0	1243.0	828.0	1117.0	2982.0	1168.0	641.0	731.0	2068.0	41.0	54.0	60.0	10003.0	8268.0	6751.0	6293.0	9212.0	7374.0	7145.0	7942.0	8387.0	7902.0	9600.0	9133.0	4870.0	6411.0	4440.0	11764.0	4282.0	7297.0	3454.0	7376.0	5941.0	7351.0	5515.0	8706.0	6737.0	4673.0	5777.0	3599.0	3116.0	3097.0	6388.0	3889.0	8839.0	3959.0	4388.0	4696.0	4592.0	2450.0	2832.0	2392.0	4014.0	2087.0	3092.0	1905.0	2914.0	2622.0	3604.0	2660.0	1213.0	62.0	58.0	73.0	1446.0	62.0	20.0	45.0	2343.0	22.0	29.0	30.0	1375.0	1.0	0.0	286.0	2227.0	1.0	0.0	90.0	1797.0	251.0	160.0	41.0	787.0	51.0	8.0	215.0	1304.0	8.0	4.0	149.0	384.0	245.0	83.0	275.0	681.0	421.0	524.0	358.0	657.0	171.0	36.0	276.0	723.0	2551.0	2221.0	2896.0
d32e579b3ae7b2aae8d5bf9f027c29af	823.0	762.0	401.0	2879.0	2543.0	2743.0	294.0	2465.0	2712.0	2088.0	272.0	2859.0	2789.0	2685.0	28.0	3560.0	3755.0	2110.0	95.0	2281.0	3164.0	2027.0	75.0	2355.0	2575.0	2198.0	291.0	2133.0	2110.0	1737.0	278.0	1833.0	1964.0	1687.0	303.0	1968.0	1905.0	1219.0	70.0	2543.0	1801.0	2688.0	108.0	2685.0	1942.0	2700.0	94.0	2521.0	1747.0	2713.0	60.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	144.0	2491.0	1669.0	2309.0	105.0	3014.0	2219.0	2209.0	365.0	4170.0	2324.0	2707.0	235.0	4354.0	2130.0	1380.0	236.0	3805.0	3391.0	3776.0	407.0	3605.0	2847.0	2901.0	196.0	2724.0	2468.0	2805.0	95.0	2020.0	2807.0	3233.0	226.0	2547.0	2748.0	3152.0	270.0	3045.0	2558.0	2802.0	166.0	2439.0	1979.0	3580.0	241.0	2563.0	2301.0	4139.0	129.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	296.0	0.0	0.0	0.0	321.0	0.0	0.0	0.0	339.0	0.0	0.0	0.0
a8f4dc7d191848709966aa2ab1b26d3a	633.0	275.0	897.0	3294.0	2955.0	3000.0	967.0	3401.0	3117.0	3632.0	450.0	3448.0	2868.0	3570.0	149.0	1288.0	715.0	744.0	566.0	1708.0	836.0	838.0	638.0	2610.0	129.0	2138.0	644.0	4429.0	4544.0	3705.0	504.0	4256.0	4480.0	3716.0	617.0	5188.0	4982.0	3470.0	583.0	3409.0	3822.0	1855.0	552.0	2770.0	3366.0	1241.0	384.0	4204.0	4192.0	1567.0	155.0	0.0	0.0	0.0	260.0	1.0	0.0	0.0	225.0	0.0	0.0	0.0	357.0	4.0	1.0	5.0	321.0	0.0	0.0	0.0	393.0	1.0	0.0	23.0	373.0	0.0	0.0	1.0	140.0	0.0	1.0	0.0	172.0	0.0	0.0	0.0	347.0	8.0	2.0	19.0	321.0	1.0	0.0	7.0	263.0	2.0	0.0	18.0	78.0	68.0	9.0	40.0	18.0	132.0	24.0	6.0	167.0	150.0	62.0	49.0	127.0	80.0	5.0	45.0	235.0	96.0	10.0	94.0	291.0	112.0	6.0	51.0	208.0	1739.0	1776.0	531.0	266.0	1754.0	1635.0	324.0	106.0	2152.0	2257.0	244.0	232.0	1657.0	2170.0	734.0	179.0	2734.0	2599.0	529.0	195.0	2525.0	1919.0	565.0	188.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	236.0	0.0	0.0	1.0	225.0	0.0	1.0	3.0	271.0	0.0	0.0	0.0	381.0	817.0	452.0	423.0	552.0	521.0	480.0	486.0	242.0	0.0	0.0	1.0	263.0	2.0	1.0	9.0	291.0	3.0	0.0	6.0	335.0	314.0	408.0	547.0
63afe8e6aac58bf0d670a82ca5bc574c	513.0	476.0	1163.0	540.0	513.0	563.0	1017.0	461.0	378.0	278.0	701.0	380.0	383.0	336.0	276.0	485.0	435.0	449.0	768.0	686.0	232.0	396.0	814.0	231.0	446.0	460.0	1548.0	525.0	735.0	444.0	1202.0	646.0	497.0	300.0	1256.0	349.0	491.0	308.0	1604.0	408.0	306.0	768.0	1021.0	648.0	351.0	1015.0	669.0	515.0	246.0	1008.0	1847.0	150.0	213.0	232.0	1886.0	127.0	203.0	270.0	1624.0	285.0	416.0	149.0	881.0	412.0	441.0	645.0	763.0	740.0	422.0	409.0	617.0	417.0	368.0	1020.0	2492.0	288.0	462.0	406.0	1251.0	337.0	406.0	211.0	1317.0	358.0	502.0	498.0	1248.0	1025.0	863.0	1035.0	725.0	1716.0	2217.0	1561.0	701.0	821.0	1282.0	1028.0	1362.0	103.0	289.0	288.0	802.0	180.0	197.0	379.0	792.0	178.0	283.0	295.0	840.0	129.0	132.0	253.0	1546.0	260.0	208.0	410.0	741.0	173.0	361.0	247.0	1726.0	296.0	330.0	739.0	1036.0	331.0	299.0	817.0	1240.0	360.0	401.0	789.0	1058.0	308.0	251.0	901.0	1635.0	292.0	127.0	1006.0	909.0	195.0	162.0	780.0	1190.0	489.0	541.0	211.0	902.0	191.0	200.0	165.0	1015.0	306.0	280.0	232.0	1189.0	166.0	171.0	55.0	1054.0	260.0	212.0	291.0	971.0	171.0	171.0	162.0	1173.0	439.0	417.0	390.0	1828.0	378.0	409.0	420.0	1716.0	1354.0	1444.0	403.0	952.0	1837.0	2554.0	726.0	982.0	845.0	828.0	636.0	1109.0	404.0	478.0	142.0
20b3df08cd5fac2be26a2928155bab69	290.0	430.0	429.0	20.0	20.0	0.0	463.0	70.0	74.0	27.0	236.0	17.0	53.0	7.0	163.0	267.0	550.0	68.0	283.0	404.0	1014.0	202.0	280.0	467.0	2774.0	95.0	467.0	32.0	25.0	5.0	260.0	10.0	5.0	22.0	347.0	6.0	9.0	12.0	463.0	82.0	115.0	65.0	340.0	255.0	140.0	398.0	206.0	19.0	23.0	44.0	415.0	0.0	0.0	0.0	853.0	0.0	0.0	0.0	859.0	0.0	0.0	0.0	937.0	210.0	230.0	249.0	674.0	42.0	141.0	0.0	855.0	153.0	198.0	53.0	772.0	0.0	0.0	0.0	422.0	0.0	0.0	0.0	411.0	0.0	0.0	0.0	2277.0	245.0	158.0	340.0	1855.0	117.0	110.0	50.0	1579.0	0.0	0.0	15.0	3221.0	1564.0	1928.0	1077.0	4440.0	1750.0	1597.0	1359.0	2480.0	1911.0	2360.0	694.0	3629.0	1657.0	3710.0	354.0	2471.0	758.0	2822.0	164.0	2252.0	1010.0	3122.0	577.0	2374.0	74.0	86.0	53.0	1440.0	40.0	60.0	37.0	2235.0	31.0	58.0	34.0	1318.0	42.0	22.0	59.0	1238.0	16.0	21.0	22.0	1102.0	9.0	11.0	8.0	1350.0	0.0	0.0	0.0	1067.0	0.0	0.0	2.0	1471.0	0.0	0.0	5.0	755.0	0.0	0.0	3.0	926.0	0.0	0.0	4.0	746.0	0.0	0.0	6.0	352.0	0.0	0.0	0.0	461.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	251.0	0.0	0.0	4.0	277.0	0.0	0.0	0.0	252.0	0.0	0.0	0.0
6f822cdec4de1f76dd5eecff061d7889	481.0	551.0	77.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	51.0	362.0	442.0	1164.0	43.0	213.0	391.0	1514.0	65.0	323.0	231.0	1591.0	7.0	59.0	40.0	164.0	13.0	122.0	40.0	304.0	35.0	180.0	53.0	433.0	56.0	1947.0	1709.0	4546.0	62.0	1473.0	1670.0	4068.0	160.0	1592.0	978.0	3798.0	14.0	759.0	791.0	822.0	8.0	2066.0	1948.0	2331.0	23.0	1675.0	1454.0	2776.0	148.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0
3cd9ce63f826137d18ca1a11155a21ad	399.0	550.0	21.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	8.0	3290.0	3248.0	2896.0	1.0	3071.0	3075.0	465.0	7.0	812.0	393.0	205.0	0.0	2593.0	4834.0	615.0	7.0	1951.0	4779.0	1617.0	10.0	2189.0	2963.0	580.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0
5b6f8fbabd1b7998dbb4a567c9f07876	1891.0	1206.0	76.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	360.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	274.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	72.0	304.0	178.0	892.0	58.0	61.0	72.0	412.0	81.0	259.0	177.0	480.0	34.0	940.0	483.0	1059.0	20.0	1537.0	235.0	1462.0	129.0	1381.0	312.0	1522.0	47.0	364.0	339.0	139.0	10.0	469.0	279.0	127.0	55.0	1298.0	1299.0	106.0	27.0	3245.0	2840.0	2402.0	7.0	1899.0	2318.0	1145.0	19.0	1995.0	2424.0	843.0	115.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	301.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	335.0	0.0	0.0	0.0	628.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	152.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0
