Sample,S10,S11,S14,S16,S17,S19,S2,S21,S22,S27,S28,S29,S30,S31,S32,S33,S34,S5,S6,S7,S8,S9,Unassigned,S120,S263,S391,S491,Rare,hill0,hill1,hill2,Experiment,Shake,Media,Beads,Temp,Rep,Time,Day,ID,Treatment,ComplexityB
PMXC6.NS.CR.B.RT.REP1.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,B,RT,REP1,OG,0,PMXC6.NS.CR.B.RT.REP1,NSCRRTB,3
PMXC6.NS.CR.B.RT.REP2.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,B,RT,REP2,OG,0,PMXC6.NS.CR.B.RT.REP2,NSCRRTB,3
PMXC6.NS.CR.B.RT.REP3.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,B,RT,REP3,OG,0,PMXC6.NS.CR.B.RT.REP3,NSCRRTB,3
PMXC6.NS.CR.B.VT.REP1.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,B,VT,REP1,OG,0,PMXC6.NS.CR.B.VT.REP1,NSCRVTB,4
PMXC6.NS.CR.B.VT.REP2.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,B,VT,REP2,OG,0,PMXC6.NS.CR.B.VT.REP2,NSCRVTB,4
PMXC6.NS.CR.B.VT.REP3.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,B,VT,REP3,OG,0,PMXC6.NS.CR.B.VT.REP3,NSCRVTB,4
PMXC6.NS.CR.NB.RT.REP1.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,NB,RT,REP1,OG,0,PMXC6.NS.CR.NB.RT.REP1,NSCRRTNB,2
PMXC6.NS.CR.NB.RT.REP2.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,NB,RT,REP2,OG,0,PMXC6.NS.CR.NB.RT.REP2,NSCRRTNB,2
PMXC6.NS.CR.NB.RT.REP3.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,NB,RT,REP3,OG,0,PMXC6.NS.CR.NB.RT.REP3,NSCRRTNB,2
PMXC6.NS.CR.NB.VT.REP1.OG,0.049364146,0,0.055791057,0,0.041980036,0.062901682,0.055380829,0.053876658,0.02994667,0.013947764,0.029126214,0.048406947,0.034869411,0.051962259,0.021331875,0.020511418,0.089019554,0.052782716,0.029809928,0.034322439,0.018733762,0.045261862,0,0.026801586,0.049637632,0.031450841,0.031314098,0.021468618,25,22.92945872,21.23035665,PMXC6,NS,CR,NB,VT,REP1,OG,0,PMXC6.NS.CR.NB.VT.REP1,NSCRVTNB,3
