Sample,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,Media
S120,1,0.442385576,7.80517938267586e-05,0.606613001,14.24695486,1.142651376,14.96478767,15.10297222,0.026112729,R2A
S120,2,0.446530401,9.47183320806178e-05,0.58463287,14.46744356,1.185611032,15.00650958,15.13734722,0.024236986,R2A
S120,3,0.443347464,0.000127233,0.574902914,14.18640521,1.20567693,15.02407808,15.14334722,0.021816358,R2A
S8,1,0.58583886,0.000503178,0.548333134,12.87355361,1.264098661,20.62129446,20.69713889,0.056326509,R2A
S8,2,0.559515554,0.000207017,0.619817912,12.7483465,1.11830776,19.76532262,19.89222222,0.037836513,R2A
S8,3,0.555167192,8.65469371521456e-05,0.690234254,12.70029956,1.0042202,19.63859348,19.81259722,0.039050577,R2A
S21,1,0.462871691,0.00033268,0.656049394,11.03164475,1.056547246,17.14568465,17.25813889,0.038437504,R2A
S21,2,0.457708591,0.000348173,0.639514768,11.22808828,1.083864229,16.86447626,16.97001389,0.030191307,R2A
S21,3,0.459607311,0.000257815,0.669246993,11.18469344,1.035712058,16.95454159,17.07663889,0.033588158,R2A
S33,1,0.416408954,0.003941341,0.211194215,22.02066362,3.282036776,10.83841389,10.77405556,0.00593338,R2A
S33,2,0.419776027,0.003643214,0.215854211,21.95064027,3.211182114,10.95621556,10.88788889,0.006490723,R2A
S33,3,0.391353917,0.002666702,0.233382553,21.346636,2.970004276,10.45194926,10.40984722,0.004170741,R2A
S263,1,0.490818572,0.034555818,0.152370111,16.93568974,4.549102024,15.07634482,15.00947222,0.035182855,R2A
S263,2,0.442347152,0.049789503,0.130318463,15.84487093,5.318871647,13.90197281,13.76618056,0.034208898,R2A
S263,3,0.438689349,0.052270984,0.128817462,15.52956547,5.380847968,13.89622642,13.76372222,0.037859161,R2A
S9,1,0.355869914,0.001618705,0.384620618,14.00959776,1.802158148,12.11853663,12.09847222,0.009379734,R2A
S9,2,0.360117035,0.000957235,0.427753436,13.85721984,1.620436265,12.32006509,12.32422222,0.007865155,R2A
S9,3,0.351322034,0.001591033,0.384512224,14.02499193,1.802666177,11.95827519,11.94434722,0.008201038,R2A
S22,1,0.416206285,0.000203805,0.956611182,7.966961171,0.724586116,16.69288914,16.75363889,0.047824905,R2A
S22,2,0.420253873,0.000155582,1.00216366,7.884014086,0.691650684,16.89014549,16.95180556,0.053026092,R2A
S22,3,0.414347403,0.000251886,0.951782245,7.780010064,0.728262357,16.6957446,16.76113889,0.050091477,R2A
S34,1,0.495896406,0.021382178,0.405320077,7.647619797,1.710122987,19.99372995,19.93451389,0.019404663,R2A
S34,2,0.490143084,0.020019176,0.428311891,7.369175983,1.618323458,19.90382095,19.85005556,0.021452658,R2A
S34,3,0.503083254,0.018707017,0.436876867,7.44823891,1.586596209,20.39486715,20.34605556,0.022222359,R2A
S391,1,0.414293557,0.000379359,0.452611712,15.45459754,1.531438897,13.51346929,13.56751389,0.01195752,R2A
S391,2,0.425601628,0.000463797,0.440185695,15.49510242,1.574669936,13.86488559,13.90976389,0.010159576,R2A
S391,3,0.429454912,0.000441906,0.446792082,15.3945122,1.551386447,14.03368758,14.07988889,0.010462152,R2A
S10,1,0.420590815,0.000451573,1.417490813,4.822326443,0.488995889,18.19124166,18.19072222,0.019299834,R2A
S10,2,0.421700848,0.000396651,1.431348976,4.868172044,0.484261485,18.21996159,18.22588889,0.020051205,R2A
S10,3,0.419289272,0.000328336,1.480379603,4.830853481,0.468222596,18.13146836,18.14055556,0.020063893,R2A
S27,1,0.594854663,0.000543701,0.363290128,19.25942565,1.907971419,17.13946279,17.15388889,0.023742874,R2A
S27,2,0.596537087,0.00023638,0.413735487,18.93252703,1.67533896,17.38383714,17.43459722,0.018924646,R2A
S27,3,0.606632938,0.000766928,0.341338538,19.54664003,2.030673669,17.30393094,17.29705556,0.017732818,R2A
S491,1,0.449904704,0.001596175,0.758992442,7.428099572,0.913246486,18.28499997,18.29622222,0.017862893,R2A
S491,2,0.440988471,0.001798119,0.735328666,7.477189169,0.942635875,17.90059369,17.90568056,0.012183832,R2A
S491,3,0.420948785,0.001187303,0.827418425,7.091940809,0.837722681,17.25021505,17.26968056,0.016700041,R2A
S11,1,0.427068589,9.29509685548249e-05,1.742204842,4.840079593,0.397856305,18.46410447,18.52318056,0.10452658,R2A
