,Isolate,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,Media
1,S120,1,0.447484185,0.000105539,0.589213279,14.17497571,1.176394363,15.16942131,15.34297222,0.026723392,,R2A
2,S120,2,0.44857437,0.000106689,0.57788221,14.43836583,1.199461012,15.08822274,15.23334722,0.024471546,,R2A
3,S120,3,0.445395609,0.000142785,0.568261637,14.1573089,1.219767684,15.10641566,15.23934722,0.022054548,,R2A
4,S8,1,0.58897141,0.000568846,0.540477244,12.84338304,1.282472459,20.74919853,20.84113889,0.056430323,,R2A
5,S8,2,0.563280351,0.000246414,0.608550704,12.70901613,1.139013028,19.92040231,20.06822222,0.03813203,,R2A
6,S8,3,0.560235679,0.000112312,0.673309889,12.64592998,1.02946235,19.84830667,20.05259722,0.039546855,,R2A
7,S21,1,0.465886846,0.000382734,0.64629676,10.99113807,1.07249057,17.27616164,17.40213889,0.038628913,,R2A
8,S21,2,0.458381829,0.000359759,0.637245076,11.21897621,1.087724655,16.89343949,17.00201389,0.030239995,,R2A
9,S21,3,0.465659994,0.00035123,0.647475601,11.10314653,1.070537916,17.21564105,17.36463889,0.034085895,,R2A
10,S33,1,0.418902369,0.004227255,0.208712597,21.9725237,3.321060595,10.92253891,10.87005556,0.005511917,,R2A
11,S33,2,0.447840343,0.007646887,0.189065093,21.43661509,3.66618273,11.9041649,11.94388889,0.005878228,,R2A
12,S33,3,0.398173977,0.00333333,0.225188924,21.20224377,3.078069604,10.68921538,10.68184722,0.003425003,,R2A
13,S263,1,0.491556922,0.034880966,0.152065682,16.91395951,4.558209135,15.10753024,15.04147222,0.0351567,,R2A
14,S263,2,0.444482057,0.050873353,0.129763272,15.76731204,5.341628396,13.99508086,13.86218056,0.034048574,,R2A
15,S263,3,0.440431053,0.05318457,0.128399655,15.4618257,5.398357026,13.97399025,13.84372222,0.037739915,,R2A
16,S9,1,0.356940751,0.001692584,0.382149844,13.99074249,1.813809927,12.16152372,12.14647222,0.009338787,,R2A
17,S9,2,0.361184124,0.001008167,0.424755732,13.83962251,1.631872458,12.36279809,12.37222222,0.007881269,,R2A
18,S9,3,0.353455732,0.001740454,0.379583059,13.98554432,1.826075121,12.04442106,12.04034722,0.008151184,,R2A
19,S22,1,0.421910867,0.000276006,0.926678114,7.911563422,0.747991315,16.94497519,17.02563889,0.047992465,,R2A
