File,Strain,Product,Count,Gene,Family
4,M03D5GC21,Xylanase/chitin deacetylase,1,Chitin Deacetylase,CE4
4,M03D5GC21,Xylanase/chitin deacetylase protein,1,Chitin Deacetylase,CE4
14,M09D5GC07,Peptidoglycan/xylan/chitin deacetylase (PgdA/CDA1 family),1,Chitin Deacetylase,CE4
17,M10D5GC03,chitin disaccharide deacetylase,1,Chitin Deacetylase,CE4
24,M03D5GC05,Peptidoglycan/xylan/chitin deacetylase (PgdA/CDA1 family),2,Chitin Deacetylase,CE4
24,M03D5GC05,"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family",1,Chitin Deacetylase,CE4
1,M03D5C18,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
2,M03D5GC02,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
4,M03D5GC21,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
5,M03D6GC30,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
8,M05D5GC01,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
9,M07D5C33,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
10,M07D5GC13,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
11,M07D5GC17,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
12,M07D6GC08,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
13,M09D5C28,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
14,M09D5GC07,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
16,M10D5C22,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
17,M10D5GC03,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
18,M10D5GC09,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
21,M10D6C16,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
24,M03D5GC05,N-acetylglucosamine-6-phosphate deacetylase,1,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
25,M07D5C27,N-acetylglucosamine-6-phosphate deacetylase,2,N-acetylglucosamine-6-phosphate deacetylase,EC3.5.1.25
1,M03D5C18,glycoside hydrolase family 18,2,Chitinase,GH18
1,M03D5C18,glycoside hydrolase family 18 protein,1,Chitinase,GH18
1,M03D5C18,glycosyl hydrolase family 18 protein,2,Chitinase,GH18
1,M03D5C18,Glycosyl hydrolases family 18,1,Chitinase,GH18
2,M03D5GC02,glycosyl hydrolase family 18 protein,1,Chitinase,GH18
3,M03D5GC15,Glycosyl hydrolase family 18,1,Chitinase,GH18
3,M03D5GC15,glycosyl hydrolase family 18 protein,1,Chitinase,GH18
11,M07D5GC17,Glycosyl hydrolase family 18 (Putative chitinase),1,Chitinase,GH18
11,M07D5GC17,glycosyl hydrolase family 18 protein,1,Chitinase,GH18
12,M07D6GC08,glycoside hydrolase family 18,1,Chitinase,GH18
13,M09D5C28,glycoside hydrolase family 18 protein,1,Chitinase,GH18
13,M09D5C28,glycosyl hydrolase family 18 protein,1,Chitinase,GH18
16,M10D5C22,glycosyl hydrolase family 18 protein,3,Chitinase,GH18
26,M09D6C03,glycosyl hydrolase family 18 protein,1,Chitinase,GH18
1,M03D5C18,chitinase,1,Chitinase,GH18|GH19
9,M07D5C33,chitinase,1,Chitinase,GH18|GH19
11,M07D5GC17,chitinase,1,Chitinase,GH18|GH19
17,M10D5GC03,chitinase,1,Chitinase,GH18|GH19
18,M10D5GC09,chitinase,1,Chitinase,GH18|GH19
22,M10D6GC05,chitinase,1,Chitinase,GH18|GH19
24,M03D5GC05,chitinase,2,Chitinase,GH18|GH19
24,M03D5GC05,Putative chitinase,1,Chitinase,GH18|GH19
