Sample,ASV10,ASV11,ASV14,ASV16,ASV17,ASV19,ASV2,ASV21,ASV22,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV5,ASV6,ASV7,ASV8,ASV9,Unassigned,X120,X263,X391,X491,Experiment,Shake,Media,Beads,Temp,Rep,Time,Day,Treatment
PMXC6_CR_Seed_Community,18872,3571,21114,3292,16598,22591,21082,20931,11795,4650,11360,18181,11318,19469,8809,8629,34123,18530,11276,12191,6117,18624,792,8953,17667,10542,10499,PMXC6,NA,CR,NA,NA,NA,OG,0,OG
PMXC6_R2A_Seed_Community,10671,2282,18053,2186,15406,10953,17807,9704,8653,2807,8308,12432,10091,9876,10226,5079,45786,13092,7510,8025,6067,13204,214,4563,10041,12175,5644,PMXC6,NA,R2A,NA,NA,NA,OG,0,OG
PMXC6.NS.CR.B.RT.REP1.T0,3931,6022,50328,3806,7585,4948,12300,1644,1207,297,1501,37744,29078,15556,16835,1821,104776,17989,942,783,4666,501,232,3049,3100,6925,6190,PMXC6,NS,CR,B,RT,REP1,T0,3,NSCRRTB
PMXC6.NS.CR.B.RT.REP2.T0,3348,5523,51388,3793,6943,4518,12934,1519,850,307,1612,26574,19307,17876,11562,2747,81786,13338,763,764,2556,457,192,1753,2618,4930,3292,PMXC6,NS,CR,B,RT,REP2,T0,3,NSCRRTB
PMXC6.NS.CR.B.RT.REP3.T0,3450,6030,45478,3130,8110,3688,10315,1032,784,272,1618,38536,20836,9190,6357,2095,44725,19934,444,570,4552,426,124,1625,3177,2823,2297,PMXC6,NS,CR,B,RT,REP3,T0,3,NSCRRTB
PMXC6.NS.CR.B.VT.REP1.T0,3615,6776,72215,5319,9989,4505,4861,614,1168,179,253,38085,18651,8210,9275,1765,62332,30071,690,173,4600,347,114,1014,1948,1799,3215,PMXC6,NS,CR,B,VT,REP1,T0,3,NSCRVTB
PMXC6.NS.CR.B.VT.REP2.T0,3239,6001,63199,5084,7197,4762,4202,488,812,155,529,41777,19843,9255,8580,2321,59404,31784,514,140,6318,325,145,1400,2962,2571,3312,PMXC6,NS,CR,B,VT,REP2,T0,3,NSCRVTB
PMXC6.NS.CR.B.VT.REP3.T0,4758,7941,71186,5058,8763,4653,4623,515,902,177,495,43306,17783,9057,6946,1706,59947,36757,523,195,5036,406,156,1175,2400,1905,2720,PMXC6,NS,CR,B,VT,REP3,T0,3,NSCRVTB
PMXC6.NS.CR.NB.RT.REP1.T0,6544,10081,81985,5691,13448,6617,18856,1326,1271,322,1915,51082,30057,21256,9885,3153,83533,46361,913,703,6559,590,214,2378,4037,3227,3489,PMXC6,NS,CR,NB,RT,REP1,T0,3,NSCRRTNB
PMXC6.NS.CR.NB.RT.REP2.T0,6524,8721,69919,4266,8116,5927,16598,1198,1289,410,2100,50398,28995,16882,10960,2767,65103,32289,832,698,5481,637,224,2652,4643,3277,3541,PMXC6,NS,CR,NB,RT,REP2,T0,3,NSCRRTNB
PMXC6.NS.CR.NB.RT.REP3.T0,5747,8760,61621,4445,8808,6261,14984,1050,1132,365,1584,37954,21158,14010,6259,2269,61603,34293,795,703,4728,591,145,2014,3290,2748,2886,PMXC6,NS,CR,NB,RT,REP3,T0,3,NSCRRTNB
PMXC6.NS.CR.NB.VT.REP1.T0,5448,11756,96238,6068,14633,7066,9657,979,2050,224,2218,55092,27619,11366,12250,2451,89693,70955,870,229,5502,645,190,2186,5636,2703,3448,PMXC6,NS,CR,NB,VT,REP1,T0,3,NSCRVTNB
PMXC6.NS.CR.NB.VT.REP2.T0,4659,9826,65517,4400,10516,5449,6803,642,1334,210,1624,44349,21515,7845,7924,2306,58278,39989,541,263,4838,451,112,1578,3750,2226,3073,PMXC6,NS,CR,NB,VT,REP2,T0,3,NSCRVTNB
PMXC6.NS.CR.NB.VT.REP3.T0,3826,9593,66038,4622,8067,5344,7191,663,1306,189,1913,45170,22823,8731,8872,2745,60104,45226,498,246,6007,505,173,2042,3646,2531,2863,PMXC6,NS,CR,NB,VT,REP3,T0,3,NSCRVTNB
PMXC6.NS.R2A.B.RT.REP1.T0,26447,3454,57526,1243,11587,6881,6477,1775,2191,398,1793,50576,25425,5378,6207,1590,49715,9036,827,2273,2052,780,137,2206,2940,1032,3456,PMXC6,NS,R2A,B,RT,REP1,T0,3,NSR2ARTB
PMXC6.NS.R2A.B.RT.REP2.T0,34712,5497,77111,1908,15223,11377,9400,2522,3004,580,2967,58305,29925,5515,8231,2252,63172,9120,871,4487,2730,1121,374,3028,4237,1647,3736,PMXC6,NS,R2A,B,RT,REP2,T0,3,NSR2ARTB
PMXC6.NS.R2A.B.RT.REP3.T0,41498,5530,74755,2118,18268,12538,11062,3382,3631,584,3679,77707,34479,6518,7370,2829,53025,16065,1020,3753,3752,1549,1218,3168,5459,1987,4045,PMXC6,NS,R2A,B,RT,REP3,T0,3,NSR2ARTB
PMXC6.NS.R2A.B.VT.REP1.T0,9903,2066,53847,1338,11041,5657,4447,2114,2757,436,2472,30726,14107,4306,11960,1092,73439,5811,1062,900,1558,661,192,1916,2203,1071,4371,PMXC6,NS,R2A,B,VT,REP1,T0,3,NSR2AVTB
PMXC6.NS.R2A.B.VT.REP2.T0,16977,2568,98640,1953,18381,9779,9995,4193,4043,769,3463,44798,21090,8279,28397,2074,123902,8418,1701,1414,2664,1135,396,4514,4490,1909,6865,PMXC6,NS,R2A,B,VT,REP2,T0,3,NSR2AVTB
PMXC6.NS.R2A.B.VT.REP3.T0,18702,5558,152271,2931,29844,9348,14812,6015,6387,1350,5161,58906,28902,8032,35750,1531,166850,14770,2500,2688,2916,1166,450,3163,4452,1280,13518,PMXC6,NS,R2A,B,VT,REP3,T0,3,NSR2AVTB
PMXC6.NS.R2A.NB.RT.REP1.T0,26880,3883,41267,1832,15829,10232,6670,2646,4644,560,3508,55991,30540,5431,6210,2275,46450,13044,816,3322,3054,1130,197,2897,4640,1633,4038,PMXC6,NS,R2A,NB,RT,REP1,T0,3,NSR2ARTNB
PMXC6.NS.R2A.NB.RT.REP2.T0,23171,3512,33534,1526,14649,8541,5708,2281,4186,460,3106,50792,26616,4760,5293,1922,42367,10779,714,3192,2411,1004,206,2301,4105,1341,3229,PMXC6,NS,R2A,NB,RT,REP2,T0,3,NSR2ARTNB
PMXC6.NS.R2A.NB.RT.REP3.T0,1471,177,2380,143,344,353,222,184,368,54,26,7359,4011,275,279,57,2892,653,31,212,98,21,38,109,131,109,472,PMXC6,NS,R2A,NB,RT,REP3,T0,3,NSR2ARTNB
PMXC6.NS.R2A.NB.VT.REP1.T0,12334,3856,69170,2478,14859,8992,5240,2814,3488,584,3283,47522,24350,4797,10037,1636,73592,14920,1176,2774,2104,684,397,2698,4036,1073,6295,PMXC6,NS,R2A,NB,VT,REP1,T0,3,NSR2AVTNB
PMXC6.NS.R2A.NB.VT.REP2.T0.RS,675,277,4812,288,127762,85812,40611,366,188,54,36316,3046,3177,348,777,106,12533,762,83,213,82,70,5432,24994,24302,74,458,PMXC6,NS,R2A,NB,VT,REP2,T0,3,NSR2AVTNB
PMXC6.NS.R2A.NB.VT.REP3.T0.RS,589,119,6983,117,91121,49982,26990,208,132,34,17101,2400,1624,293,933,67,8231,519,42,122,70,14,2425,16664,22805,40,626,PMXC6,NS,R2A,NB,VT,REP3,T0,3,NSR2AVTNB
PMXC6.S.CR.B.RT.REP1.T0,9583,85,12384,4537,5292,16165,37011,2489,1179,410,107,17872,24052,26986,78209,1773,57612,5225,2257,115,2762,206,542,3459,2363,20331,31944,PMXC6,S,CR,B,RT,REP1,T0,3,SCRRTB
PMXC6.S.CR.B.RT.REP2.T0,10054,601,45787,12619,15112,30363,46343,3921,1454,890,241,33504,29903,24177,73325,2264,63579,33416,4356,137,6175,289,590,7125,1472,5666,28717,PMXC6,S,CR,B,RT,REP2,T0,3,SCRRTB
PMXC6.S.CR.B.RT.REP3.T0,4986,712,37738,7968,13900,28957,21035,2164,1233,1130,450,19274,11662,15204,18824,1903,40328,33750,1689,80,5857,212,424,2909,527,2374,6937,PMXC6,S,CR,B,RT,REP3,T0,3,SCRRTB
PMXC6.S.CR.B.VT.REP1.T0,6389,474,39514,5973,18755,11106,6714,1589,1304,977,335,24585,9685,18054,21586,2169,53198,25890,2392,17,5024,128,435,4272,3253,1089,5324,PMXC6,S,CR,B,VT,REP1,T0,3,SCRVTB
PMXC6.S.CR.B.VT.REP2.T0,5816,528,25490,7022,12742,8940,5500,543,1318,480,110,28077,14465,12849,18310,3230,46699,21241,1736,2,11481,116,247,3737,1839,2681,8889,PMXC6,S,CR,B,VT,REP2,T0,3,SCRVTB
PMXC6.S.CR.B.VT.REP3.T0,7563,1315,51309,7124,24789,11602,7004,1262,1882,1488,510,41898,16829,19696,20884,2702,58509,45605,2423,26,10407,217,459,5522,3507,1749,6711,PMXC6,S,CR,B,VT,REP3,T0,3,SCRVTB
PMXC6.S.CR.NB.RT.REP1.T0,7716,707,39329,3518,10013,19637,17553,1928,1192,598,229,28483,11689,12268,16727,2246,47234,39364,1130,65,7173,250,323,2675,1352,2252,4340,PMXC6,S,CR,NB,RT,REP1,T0,3,SCRRTNB
PMXC6.S.CR.NB.RT.REP2.T0,8862,855,45980,4585,10917,22337,20483,2059,1345,593,321,38419,14524,13136,17211,2578,41018,52248,1576,71,9159,290,373,2846,1084,2690,4834,PMXC6,S,CR,NB,RT,REP2,T0,3,SCRRTNB
PMXC6.S.CR.NB.RT.REP3.T0,8289,754,40760,4449,7273,18540,18976,1752,980,515,262,28247,12477,13783,23120,2077,38408,42839,1466,58,6078,203,338,3053,1270,2307,5776,PMXC6,S,CR,NB,RT,REP3,T0,3,SCRRTNB
PMXC6.S.CR.NB.VT.REP1.T0,6024,1429,33022,5362,20465,9757,7014,2302,1395,623,527,39691,14719,15201,16559,4067,64853,37037,1353,38,9970,175,402,6256,3738,2390,6799,PMXC6,S,CR,NB,VT,REP1,T0,3,SCRVTNB
