Sample,ASV10,ASV11,ASV14,ASV16,ASV17,ASV19,ASV2,ASV21,ASV22,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV34,ASV5,ASV6,ASV7,ASV8,ASV9,Unassigne,X120,X263,X391,X491,Experiment,Shake,Media,Beads,Temp,Rep,Time,Day,Treatment
PMXC7.CR.Seed.Comm,445,922,997,365,1891,256,481,858,986,206,565,676,513,823,290,934,668,150,1028,488,2341,15,370,1006,399,168,PMXC7,NA,CR,NA,NA,NA,OG,0,OG
PMXC7.M9TC.Seed.Comm,507,1217,1202,385,1206,245,551,758,875,185,823,607,476,776,430,1300,280,105,1112,408,2137,17,400,1118,550,171,PMXC7,NA,M9,NA,NA,NA,OG,0,OG
PMXC7.NS.CR.B.RT.REP1.T0,156,148,7596,213,76,68,78,7,6,11,35,2255,1163,406,429,3970,927,6,0,79,4,16,35,50,22,85,PMXC7,NS,CR,B,RT,REP1,T0,3,NSCRRTB
PMXC7.NS.CR.B.RT.REP2.T0,247,119,7129,181,110,77,85,11,5,6,53,2229,1017,294,463,4532,1016,4,5,79,9,3,44,56,16,51,PMXC7,NS,CR,B,RT,REP2,T0,3,NSCRRTB
PMXC7.NS.CR.B.RT.REP3.T0,113,110,8137,187,28,33,49,2,3,8,23,2002,773,316,289,4758,651,6,1,36,15,178,9,41,6,67,PMXC7,NS,CR,B,RT,REP3,T0,3,NSCRRTB
PMXC7.NS.CR.B.VT.REP1.T0,63,64,9267,48,84,24,66,8,0,0,25,1326,385,104,329,5063,274,0,8,47,26,515,5,56,20,34,PMXC7,NS,CR,B,VT,REP1,T0,3,NSCRVTB
PMXC7.NS.CR.B.VT.REP2.T0,106,51,7131,90,24,42,24,1,1,2,4,2127,769,95,287,6315,583,0,2,112,2,21,22,0,2,28,PMXC7,NS,CR,B,VT,REP2,T0,3,NSCRVTB
PMXC7.NS.CR.B.VT.REP3.T0,144,46,7012,122,13,62,33,3,6,1,13,2030,816,76,280,6321,652,1,0,130,2,5,37,5,13,18,PMXC7,NS,CR,B,VT,REP3,T0,3,NSCRVTB
PMXC7.NS.CR.NB.RT.REP1.T0,120,135,5745,178,54,75,63,1,6,1,24,3307,1548,293,467,4784,654,6,2,171,8,44,27,38,23,67,PMXC7,NS,CR,NB,RT,REP1,T0,3,NSCRRTNB
PMXC7.NS.CR.NB.RT.REP2.T0,147,163,7460,192,54,56,38,5,8,3,17,2930,1276,281,272,4121,578,6,4,102,3,7,25,24,13,56,PMXC7,NS,CR,NB,RT,REP2,T0,3,NSCRRTNB
PMXC7.NS.CR.NB.RT.REP3.T0,88,152,6391,175,100,107,78,5,7,4,25,2835,1256,303,347,5018,628,12,1,150,5,1,30,33,25,65,PMXC7,NS,CR,NB,RT,REP3,T0,3,NSCRRTNB
PMXC7.NS.CR.NB.VT.REP1.T0,118,37,6736,94,24,47,13,0,4,0,4,2063,1608,70,467,5760,610,0,1,99,0,11,38,10,8,19,PMXC7,NS,CR,NB,VT,REP1,T0,3,NSCRVTNB
PMXC7.NS.CR.NB.VT.REP2.T0,131,100,7224,138,13,30,22,3,11,1,2,2112,1031,111,350,5759,578,0,1,125,8,6,20,2,13,50,PMXC7,NS,CR,NB,VT,REP2,T0,3,NSCRVTNB
PMXC7.NS.CR.NB.VT.REP3.T0,104,71,7985,157,12,26,10,0,11,1,5,3618,795,103,276,3774,660,4,3,106,4,35,16,7,4,54,PMXC7,NS,CR,NB,VT,REP3,T0,3,NSCRVTNB
